Zone,Addresse,Nom,Nb affiches,Dernier Collage,Décollé?,Nom Itinéraire,Pos Itinéraire,Coordonnées,Officiel
Saint-Yrieix-sur-Charente,Carrefour de la rue des Augerauds et des Mesniers,,,30/05/2022 12:43:16,FALSE,Officiel Saint-Yrieix-sur-Charente,,"45.692304177987026, 0.13297221952861205",TRUE
Saint-Yrieix-sur-Charente,Rue Jacques Chardonne (à côté du transformateur),,,30/05/2022 12:44:32,FALSE,Officiel Saint-Yrieix-sur-Charente,,"45.66722088625535, 0.14396573737557045",TRUE
Saint-Yrieix-sur-Charente,22 rue des Ecoles (Préau de l’école C Roy B),,,30/05/2022 12:44:25,FALSE,Officiel Saint-Yrieix-sur-Charente,,"45.66739889948253, 0.12764659337702816",TRUE
Saint-Yrieix-sur-Charente,152 rue J et C Priolaud (en face de l’entrée de la salle des fêtes),,,30/05/2022 12:43:30,FALSE,Officiel Saint-Yrieix-sur-Charente,,"45.67827947627939, 0.14263736359565826",TRUE
Saint-Yrieix-sur-Charente,Angle de l’avenue de l’Union et de l’allée Léo Lagrange (Gymnase des Berneries),,,30/05/2022 12:44:52,FALSE,Officiel Saint-Yrieix-sur-Charente,,"45.6761110486578, 0.1290371247221045",TRUE
Saint-Yrieix-sur-Charente,Rue des Mesniers (Arrêt de bus « Nautilis »),,,30/05/2022 12:43:27,FALSE,Officiel Saint-Yrieix-sur-Charente,,"45.685032784895476, 0.1429131134372039",TRUE
Soyaux,Espace Henri Matisse (côté droit de l’allée d’accès),,,,TRUE,Officiel Soyaux,,"45.64226837913719, 0.196667977231184",TRUE
Soyaux,Rue De la cigogne,,,30/05/2022 17:44:05,FALSE,Officiel Soyaux,,"45.638150995301714, 0.18557363337548688",TRUE
Soyaux,"Place Lucien Petit, du côté de la rue des Lilas",,,28/05/2022 07:51:36,TRUE,Officiel Soyaux,,"45.64223778606942, 0.19011957928317885",TRUE
Soyaux,"Le Pétureau, place Charlemagne",,,30/05/2022 17:39:29,FALSE,Officiel Soyaux,,"45.63734400363526, 0.1969955500950365",TRUE
Soyaux,"Avenue Christophe Colomb, le long du parking du square du 8 mai 1945",,,,TRUE,Officiel Soyaux,,"45.64053398405123, 0.18619300611607814",TRUE
Soyaux,"Antornac, à l’entrée du bourg",,,,TRUE,Officiel Soyaux,,"45.644156455125675, 0.20535157641880353",TRUE
Soyaux,"Chemin d’Entreroches, entre la rue de la Combe et l’impasse des Glycines",,,,TRUE,Officiel Soyaux,,"45.65045795975826, 0.1942134853219135",TRUE
Soyaux,"Boulevard Léon Blum, entre Gulliver et Mille et une facettes",,,,TRUE,Officiel Soyaux,,"45.64832988156387, 0.18422635524418574",TRUE
Soyaux,"Rue Maurice Ravel, à l’angle de la rue Maurice Ravel et rue Maréchal Fayolle",,,30/05/2022 21:20:54,FALSE,Officiel Soyaux,,"45.645254, 0.181197",TRUE
Soyaux,"Square des Marronniers, au croisement de l’allée des Marronniers et de la rue du Bourg",,,,TRUE,Officiel Soyaux,,"45.641920254707614, 0.20063034370347688",TRUE
Soyaux,"La croix blanche, carrefour route du Peux et chemin de Bressour",,,,TRUE,Officiel Soyaux,,"45.636406988192995, 0.20621164934244118",TRUE
Voeuil-Et-Giget,Bourg de Vœuil,,,30/05/2022 16:54:56,FALSE,Officiel Voeuil-Et-Giget,,"45.585438, 0.154409",TRUE
Voeuil-Et-Giget,Bourg de Giget,,,30/05/2022 16:40:28,FALSE,Officiel Voeuil-Et-Giget,,"45.604176, 0.153361",TRUE
